TransactionID,TransactionList
1,"egg,milk"
2,"cheese,pasta,sauce"
3,"oregano,pasta,cheese,milk"
4,"oil,egg,oregano,meat,oatbar,milk"
5,"whipped_cream,milk"
6,"butter,oil,sauce,meat,milk"
7,"raisins,milk,oatbar,whipped_cream"
8,"chocolate,milk,whipped_cream,raisins"
9,"chips,chocolate"
10,"cheetos,chocolate,chips,popcorn"
11,"chips,popcorn"
12,"raisins,milk"
13,"milk,whipped_cream"
14,"egg,meat,whipped_cream,milk"
15,"chocolate,oatbar"
16,"chocolate,popcorn,cheese"
17,"milk,whipped_cream"
18,"honey,milk,egg,whipped_cream"
19,"oil,egg,milk,whipped_cream"
20,"butter,pasta,whipped_cream"